INST_NAME,STATE,STATE_FIPS,CC_BASIC,CONTROL,FAM_INC,SAT_AVG,ADM_RATE,UG_ENRL,AVG_FAC_SAL,RET_RATE,AVG_GRANT,MD_EARN_10,MN_EARN_10,UNEMP_RATE,GRAD_DEBT_MDN,GRAD_RATE_6,GRAD_RATE_4
Regis University,CO,8,R3,0,64611.69157,1160,0.6029,3926,7295,0.7953,0.2444,56400,62700,2.849999905,23500,0.6912,0.5165
University of Bridgeport,CT,9,R3,0,44785.06702,997,0.5724,3415,8597,0.6906,0.473,43100,47100,4.809999943,25750,0.4162,0.3029
University of Connecticut,CT,9,R1,1,88097.12168,1318,0.4877,18830,11874,0.9335,0.2194,58400,66000,3.059999943,21500,0.8455,0.7264
University of Hartford,CT,9,R3,0,85328.63362,1160,0.7136,4750,7811,0.7482,0.2873,47800,51700,3.160000086,27000,0.5798,0.4875
Quinnipiac University,CT,9,R3,0,123919.7218,1190,0.7247,7371,11079,0.8632,0.1598,63300,67700,2.569999933,26899,0.7708,0.7253
University of Saint Joseph,CT,9,R3,0,60575.07692,1120,0.7235,865,8620,0.7977,0.3914,52800,52900,3.49000001,27000,0.6306,0.465
Yale University,CT,9,R1,0,80258.1327,1517,0.0635,5963,19093,0.9919,0.158,83200,124400,3.529999971,13000,0.966,0.8767
American University,DC,11,R2,0,105098.7364,1320,0.3154,7485,12045,0.8879,0.1659,61000,67700,2.950000048,23288,0.7982,0.5426
Gallaudet University,DC,11,R2,0,36766.06299,955,0.5706,1112,10333,0.6728,0.5775,31000,34300,3.559999943,16949,0.4717,0.2642
George Washington University,DC,11,R1,0,105591.8458,1380,0.4187,12161,14659,0.9215,0.1423,69600,82400,2.950000048,22000,0.8207,0.7384
